Dates,PX_OPEN,PX_LAST,30MA,GREEN BAR
12/31/1999,165.61,165.575,,0
1/3/2000,164.92,166.01,,1
1/4/2000,166.47,168.95,,1
1/5/2000,168.92,171.315,,1
1/6/2000,171.06,173.335,,1
1/7/2000,173.4,172.695,,0
1/10/2000,172.27,171.985,,0
1/11/2000,172.18,174.54,,1
1/12/2000,174.62,174.395,,0
1/13/2000,174.155,174.805,,1
1/14/2000,174.69,172.7,,0
1/17/2000,173.02,171.265,,0
1/18/2000,171.36,173.115,,1
1/19/2000,173.2,173.25,,1
1/20/2000,173.15,174.42,,1
1/21/2000,174.4,172.74,,0
1/24/2000,173.03,174.53,,1
1/25/2000,174.53,174.41,,0
1/26/2000,174.43,173.28,,0
1/27/2000,173.15,172.205,,0
1/28/2000,172.18,173.545,,1
1/31/2000,173.76,173.51,,0
2/1/2000,173.31,174.25,,1
2/2/2000,174.18,173.96,,0
2/3/2000,174,171.82,,0
2/4/2000,171.795,170.61,,0
2/7/2000,170.55,173.57,,1
2/8/2000,173.61,176.395,,1
2/9/2000,176.26,175.91,,0
2/10/2000,175.85,175.65,,0
2/11/2000,175.73,173.41,172.8246667,0
2/14/2000,173.46,172.845,173.0858333,0
2/15/2000,172.92,174.29,173.3136667,1
2/16/2000,174.25,176.035,173.4916667,1
2/17/2000,175.77,177.855,173.649,1
2/18/2000,177.85,177.725,173.7996667,0
2/21/2000,177.26,178.015,173.9673333,1
2/22/2000,178.25,178.665,174.1683333,1
2/23/2000,178.63,178.275,174.3058333,0
2/24/2000,178.26,178.115,174.4351667,0
2/25/2000,178.23,176.075,174.5455,0
2/28/2000,175.56,174.9,174.658,0
2/29/2000,174.76,174.07,174.7791667,0
3/1/2000,174.05,169.975,174.811,0
3/2/2000,169.88,169.885,174.7018333,1
3/3/2000,169.75,169.995,174.5506667,1
3/6/2000,170.33,169.385,174.4591667,0
3/7/2000,169.03,167.885,174.2876667,0
3/8/2000,167.92,169.5,174.0701667,1
3/9/2000,169.66,168.74,173.9441667,0
3/10/2000,168.74,167.71,173.8286667,0
3/13/2000,167.68,166.63,173.6341667,0
3/14/2000,166.72,165.935,173.4048333,0
3/15/2000,165.96,166.195,173.1276667,1
3/16/2000,166.17,166.13,172.8688333,0
3/17/2000,166.16,168.05,172.6791667,1
3/20/2000,168.41,166.875,172.5938333,0
3/21/2000,166.94,167.79,172.3706667,1
3/22/2000,167.59,169.135,172.0838333,1
3/23/2000,169.05,170.295,171.858,1
3/24/2000,170.24,170.365,171.6795,1
3/27/2000,169.99,169.595,171.578,0
3/28/2000,169.48,168.22,171.4696667,0
3/29/2000,168.5,168.55,171.2673333,1
3/30/2000,168.61,168.24,171.0178333,0
3/31/2000,168.55,163.555,170.6973333,0
4/3/2000,164.58,167.335,170.225,1
4/4/2000,167.44,167.51,169.869,1
4/5/2000,167.69,166.22,169.4971667,0
4/6/2000,166.13,165.695,169.0953333,0
4/7/2000,165.61,166.38,168.6813333,1
4/10/2000,166.51,168.735,168.3581667,1
4/11/2000,168.83,169.58,168.1526667,1
4/12/2000,169.58,168.125,168.003,0
4/13/2000,168.12,168.025,167.9413333,0
4/14/2000,167.973,166.222,167.8793333,0
4/17/2000,165.64,165.224,167.7535667,0
4/18/2000,165.162,165.182,167.6148667,1
4/19/2000,165.06,165.836,167.5247667,1
4/20/2000,165.81,167.035,167.4026333,1
4/21/2000,167.116,167.075,167.3458,0
4/24/2000,166.802,166.985,167.3246333,1
4/25/2000,167.07,168.031,167.3364667,1
4/26/2000,168.131,167.422,167.4063333,0
4/27/2000,167.555,167.274,167.4472333,0
4/28/2000,167.396,167.763,167.4853667,1
5/1/2000,167.54,169.009,167.4758,1
5/2/2000,169.021,169.299,167.5469333,1
5/3/2000,169.29,170.165,167.5972333,1
5/4/2000,170.4,166.475,167.6315667,0
5/5/2000,166.65,166.2,167.5042333,0
5/8/2000,166.2,167.055,167.3654,1
5/9/2000,167,167.155,167.2807333,1
5/10/2000,167.37,165.58,167.2452333,0
5/11/2000,165.15,163.16,167.1462333,0
5/12/2000,163.13,164.645,166.9769,1
