Dates,PX_OPEN,PX_LAST
12/31/1999,102.45,102.51
1/3/2000,102.14,101.45
1/4/2000,101.7,103.22
1/5/2000,103.17,104.14
1/6/2000,104.15,105.23
1/7/2000,105.24,105.34
1/10/2000,105.17,105.16
1/11/2000,105.17,105.95
1/12/2000,105.96,105.79
1/13/2000,105.76,106.17
1/14/2000,106.15,105.87
1/17/2000,105.85,104.9
1/18/2000,104.89,105.67
1/19/2000,105.64,105.32
1/20/2000,105.34,105.47
1/21/2000,105.44,104.78
1/24/2000,105.14,105.57
1/25/2000,105.56,106.04
1/26/2000,106.05,105.66
1/27/2000,105.65,105.12
1/28/2000,105.17,107.13
1/31/2000,107.03,107.32
2/1/2000,107.33,107.85
2/2/2000,107.86,108.16
2/3/2000,108.16,107.56
2/4/2000,107.55,107.19
2/7/2000,107.28,108.62
2/8/2000,108.66,109.47
2/9/2000,109.48,108.79
2/10/2000,108.8,109.27
2/11/2000,109.28,108.82
2/14/2000,108.91,108.96
2/15/2000,108.95,109.22
2/16/2000,109.23,109.44
2/17/2000,109.43,110.56
2/18/2000,110.55,111.09
2/21/2000,110.9,111.26
2/22/2000,111.34,110.69
2/23/2000,110.72,111.07
2/24/2000,111.08,111.37
2/25/2000,111.37,110.29
2/28/2000,110.17,109.45
2/29/2000,109.45,110.33
3/1/2000,110.3,107.28
3/2/2000,107.29,107.74
3/3/2000,107.75,107.9
3/6/2000,107.89,107.54
3/7/2000,107.53,106.12
3/8/2000,106.23,107.17
3/9/2000,107.17,106.53
3/10/2000,106.56,106.35
3/13/2000,106.42,105.52
3/14/2000,105.57,105.12
3/15/2000,105.13,105.69
3/16/2000,105.68,105.37
3/17/2000,105.38,106.73
3/20/2000,106.93,106.3
3/21/2000,106.31,106.78
3/22/2000,106.76,107.11
3/23/2000,107.11,107.24
3/24/2000,107.27,106.87
3/27/2000,106.86,106.79
3/28/2000,106.75,105.84
3/29/2000,105.85,105.69
3/30/2000,105.73,105.57
3/31/2000,105.59,102.78
4/3/2000,103.38,104.9
4/4/2000,104.89,105.16
4/5/2000,105.19,104.88
4/6/2000,104.87,104.77
4/7/2000,104.78,105.37
4/10/2000,105.48,106.44
4/11/2000,106.44,106.92
4/12/2000,106.92,105.78
4/13/2000,105.77,105.88
4/14/2000,105.89,104.74
4/17/2000,104.32,104.54
4/18/2000,104.51,104.74
4/19/2000,104.73,104.82
4/20/2000,104.89,105.77
4/21/2000,105.78,105.77
4/24/2000,105.83,105.78
4/25/2000,105.77,106.31
4/26/2000,106.27,106.27
4/27/2000,106.27,106.43
4/28/2000,106.43,108.18
5/1/2000,107.87,108.76
5/2/2000,108.77,108.41
5/3/2000,108.46,109.02
5/4/2000,109.06,108.03
5/5/2000,108.02,108.56
5/8/2000,108.68,109
5/9/2000,108.99,109.19
5/10/2000,109.21,109.53
5/11/2000,109.52,108.52
5/12/2000,108.53,108.47
5/15/2000,108.62,109.3
5/16/2000,109.32,109.66
5/17/2000,109.68,109.32
5/18/2000,109.32,108.65
5/19/2000,108.64,106.98
5/22/2000,107.12,107.14
5/23/2000,107.15,106.42
5/24/2000,106.42,107.8
5/25/2000,107.76,107.35
5/26/2000,107.35,107.15
5/29/2000,107.01,107.04
5/30/2000,107.03,106.55
5/31/2000,106.62,107.66
6/1/2000,107.67,108.52
6/2/2000,108.53,108.03
6/5/2000,108.07,107.33
6/6/2000,107.36,105.8
6/7/2000,105.79,105.32
6/8/2000,105.33,105.84
6/9/2000,105.85,106.91
6/12/2000,106.83,106.85
6/13/2000,106.88,106.93
6/14/2000,106.93,106.63
6/15/2000,106.64,106.46
6/16/2000,106.46,106.41
6/19/2000,106.48,105.91
6/20/2000,105.89,105.53
6/21/2000,105.53,105.55
6/22/2000,105.53,104.57
6/23/2000,104.6,104.75
6/26/2000,104.61,105.66
6/27/2000,105.63,105.36
6/28/2000,105.27,105.57
6/29/2000,105.5,105.32
6/30/2000,105.33,106.12
7/3/2000,106.05,105.69
7/4/2000,105.7,106.1
7/5/2000,106.19,106.96
7/6/2000,106.94,107.44
7/7/2000,107.45,107.91
7/10/2000,107.86,107.01
7/11/2000,107.02,107.12
7/12/2000,107.13,108.09
7/13/2000,108.08,108.13
7/14/2000,108.09,107.72
7/17/2000,107.81,108
7/18/2000,108.07,108.14
7/19/2000,108.13,108.29
7/20/2000,108.28,107.67
7/21/2000,107.65,108.92
7/24/2000,108.85,108.78
7/25/2000,108.8,109.12
7/26/2000,109.12,109.19
7/27/2000,109.18,109.16
7/28/2000,109.16,109.59
7/31/2000,109.58,109.43
8/1/2000,109.32,109.33
8/2/2000,109.31,108.99
8/3/2000,108.9,108.33
8/4/2000,108.34,108.65
8/7/2000,108.56,109.1
8/8/2000,109.08,108.62
8/9/2000,108.56,107.82
8/10/2000,107.83,108.66
8/11/2000,108.69,108.53
8/14/2000,108.63,109.43
8/15/2000,109.45,109.02
8/16/2000,109,108.54
8/17/2000,108.53,108.53
8/18/2000,108.57,108.41
8/21/2000,108.3,108.7
8/22/2000,108.71,108.32
8/23/2000,108.3,106.96
8/24/2000,106.98,106.85
8/25/2000,106.86,106.86
8/28/2000,106.81,106.53
8/29/2000,106.48,106.05
8/30/2000,106.11,106.44
8/31/2000,106.41,106.67
9/1/2000,106.7,106
9/4/2000,105.95,105.87
9/5/2000,105.88,105.84
9/6/2000,105.82,105.89
9/7/2000,105.83,105.17
9/8/2000,105.17,106.12
9/11/2000,106.04,106.12
9/12/2000,106.14,106.83
9/13/2000,106.83,107.09
9/14/2000,107.09,107.58
9/15/2000,107.54,107.12
9/18/2000,107.13,106.9
9/19/2000,106.91,106.99
9/20/2000,106.96,106.53
9/21/2000,106.58,106.63
9/22/2000,106.66,107.92
9/25/2000,108.05,107.77
9/26/2000,107.72,107.59
9/27/2000,107.57,107.32
9/28/2000,107.31,107.63
9/29/2000,107.66,108.14
10/2/2000,108.06,108.83
10/3/2000,108.81,108.87
10/4/2000,108.82,109.28
10/5/2000,109.29,109.11
10/6/2000,109.12,108.81
10/9/2000,108.93,108.85
10/10/2000,108.77,107.75
10/11/2000,107.75,107.77
10/12/2000,107.77,107.7
10/13/2000,107.7,107.83
10/16/2000,107.83,108.05
10/17/2000,108.02,108.02
10/18/2000,108,107.7
10/19/2000,107.69,108.45
10/20/2000,108.46,108.85
10/23/2000,108.95,108.24
10/24/2000,108.19,107.75
10/25/2000,107.73,108.22
10/26/2000,108.2,108.34
10/27/2000,108.28,108.65
10/30/2000,108.72,108.98
10/31/2000,108.97,108.84
11/1/2000,108.84,108.17
11/2/2000,108.17,108.22
11/3/2000,108.16,107.08
11/6/2000,107.29,107.44
11/7/2000,107.41,107.07
11/8/2000,107.08,107.25
11/9/2000,107.24,107.44
11/10/2000,107.38,107.87
11/13/2000,108,107.69
11/14/2000,107.67,108.17
11/15/2000,108.15,108.78
11/16/2000,108.74,108.94
11/17/2000,108.9,108.77
11/20/2000,108.79,109.88
11/21/2000,109.88,110.07
11/22/2000,109.97,110.15
11/23/2000,110.11,110.22
11/24/2000,110.22,111.28
11/27/2000,111.14,110.57
11/28/2000,110.67,110.17
11/29/2000,110.16,111.24
11/30/2000,111.24,110.38
12/1/2000,110.39,111.29
12/4/2000,111.45,111.12
12/5/2000,111.13,111.16
12/6/2000,111.15,110.19
12/7/2000,110.19,110.53
12/8/2000,110.56,111.04
12/11/2000,111.41,110.79
12/12/2000,110.77,111.44
12/13/2000,111.44,112.27
12/14/2000,112.26,111.91
12/15/2000,111.89,112.58
12/18/2000,112.55,112.24
12/19/2000,112.23,112.41
12/20/2000,112.42,112.77
12/21/2000,112.77,112.27
12/22/2000,112.27,112.88
12/25/2000,112.88,112.95
12/26/2000,112.94,113.57
12/27/2000,113.59,114.14
12/28/2000,114.14,114.33
12/29/2000,114.28,114.41
1/1/2001,114.44,114.36
1/2/2001,114.38,114.36
1/3/2001,114.35,113.58
1/4/2001,113.59,115.55
1/5/2001,115.55,116.53
1/8/2001,116.58,116.16
1/9/2001,116.13,116.88
1/10/2001,116.9,116.43
1/11/2001,116.41,117.81
1/12/2001,117.81,118.55
1/15/2001,118.44,118.99
1/16/2001,118.96,117.72
1/17/2001,117.71,118.88
1/18/2001,118.86,118.14
1/19/2001,118.13,117.18
1/22/2001,117.01,116.41
1/23/2001,116.42,116.73
1/24/2001,116.78,117.73
1/25/2001,117.71,116.79
1/26/2001,116.81,117.18
1/29/2001,117.6,116.76
1/30/2001,116.76,115.86
1/31/2001,115.84,116.57
2/1/2001,116.57,115.59
2/2/2001,115.59,115.75
2/5/2001,115.71,114.77
2/6/2001,114.77,114.78
2/7/2001,114.8,116.23
2/8/2001,116.27,116.78
